"time","OP"
0.724,0.024
0.726,0.026
0.728,0.028
0.73,0.03
0.732,0.032
0.734,0.034
0.736,0.036
0.738,0.038
0.74,0.04
0.74,0.02
0.742,0.022
0.744,0.024
0.746,0.026
0.748,0.028
0.75,0.03
0.752,0.032
0.754,0.034
0.756,0.036
0.758,0.038
0.76,0.04
0.76,0.02
0.762,0.022
0.764,0.024
0.766,0.026
0.768,0.028
0.77,0.03
0.772,0.032
0.774,0.034
0.776,0.036
0.778,0.038
0.78,0.04
0.78,0.02
0.782,0.022
0.784,0.024
0.786,0.026
0.788,0.028
0.79,0.03
0.792,0.032
0.794,0.034
0.796,0.036
0.798,0.038
0.8,0.04
0.8,0.02
0.802,0.022
0.804,0.024
0.806,0.026
0.808,0.028
0.81,0.03
0.812,0.032
0.814,0.034
0.816,0.036
0.818,0.038
0.82,0.04
0.82,0.02
0.822,0.022
0.824,0.024
0.826,0.026
0.828,0.028
0.83,0.03
0.832,0.032
0.834,0.034
0.836,0.036
0.838,0.038
0.84,0.04
0.84,0.02
0.842,0.022
0.844,0.024
0.846,0.026
0.848,0.028
0.85,0.03
0.852,0.032
0.854,0.034
0.856,0.036
0.858,0.038
0.86,0.04
0.86,0.02
0.862,0.022
0.864,0.024
0.866,0.026
0.868,0.028
0.87,0.03
0.872,0.032
0.874,0.034
0.876,0.036
0.878,0.038
0.88,0.04
0.88,0.02
0.882,0.022
0.884,0.024
0.886,0.026
0.888,0.028
0.89,0.03
0.892,0.032
0.894,0.034
0.896,0.036
0.898,0.038
0.9,0.04
0.9,0.02
0.902,0.022
0.904,0.024
0.906,0.026
0.908,0.028
0.91,0.03
0.912,0.032
0.914,0.034
0.916,0.036
0.918,0.038
0.92,0.04
0.92,0.02
0.922,0.022
0.924,0.024
0.926,0.026
0.928,0.028
0.93,0.03
0.932,0.032
0.934,0.034
0.936,0.036
0.938,0.038
0.94,0.04
0.94,0.02
0.942,0.022
0.944,0.024
0.946,0.026
0.948,0.028
0.95,0.03
0.952,0.032
0.954,0.034
0.956,0.036
0.958,0.038
0.96,0.04
0.96,0.02
0.962,0.022
0.964,0.024
0.966,0.026
0.968,0.028
0.97,0.03
0.972,0.032
0.974,0.034
0.976,0.036
0.978,0.038
0.98,0.04
0.98,0.02
0.982,0.022
0.984,0.024
0.986,0.026
0.988,0.028
0.99,0.03
0.992,0.032
0.994,0.034
0.996,0.036
0.998,0.038
1,0.04
1,0.02
1.002,0.022
1.004,0.024
1.006,0.026
1.008,0.028
1.01,0.03
1.012,0.032
1.014,0.034
1.016,0.036
1.018,0.038
1.02,0.04
1.02,0.02
1.022,0.022
1.024,0.024
1.026,0.026
1.028,0.028
1.03,0.03
1.032,0.032
1.034,0.034
1.036,0.036
1.038,0.038
1.04,0.04
1.04,0.02
1.042,0.022
1.044,0.024
1.046,0.026
1.048,0.028
1.05,0.03
1.052,0.032
1.054,0.034
1.056,0.036
1.058,0.038
1.06,0.04
1.06,0.02
1.062,0.022
1.064,0.024
1.066,0.026
1.068,0.028
1.07,0.03
1.072,0.032
1.074,0.034
1.076,0.036
1.078,0.038
1.08,0.04
