"time","OP"
0.76,0.08
0.76,0.04
0.762,0.042
0.764,0.044
0.766,0.046
0.768,0.048
0.77,0.05
0.772,0.052
0.774,0.054
0.776,0.056
0.778,0.058
0.78,0.06
0.782,0.062
0.784,0.064
0.786,0.066
0.788,0.068
0.79,0.07
0.792,0.072
0.794,0.074
0.796,0.076
0.798,0.078
0.8,0.08
0.8,0.04
0.802,0.042
0.804,0.044
0.806,0.046
0.808,0.048
0.81,0.05
0.812,0.052
0.814,0.054
0.816,0.056
0.818,0.058
0.82,0.06
0.822,0.062
0.824,0.064
0.826,0.066
0.828,0.068
0.83,0.07
0.832,0.072
0.834,0.074
0.836,0.076
0.838,0.078
0.84,0.08
0.84,0.04
0.842,0.042
0.844,0.044
0.846,0.046
0.848,0.048
0.85,0.05
0.852,0.052
0.854,0.054
0.856,0.056
0.858,0.058
0.86,0.06
0.862,0.062
0.864,0.064
0.866,0.066
0.868,0.068
0.87,0.07
0.872,0.072
0.874,0.074
0.876,0.076
0.878,0.078
0.88,0.08
0.88,0.04
0.882,0.042
0.884,0.044
0.886,0.046
0.888,0.048
0.89,0.05
0.892,0.052
0.894,0.054
0.896,0.056
0.898,0.058
0.9,0.06
0.902,0.062
0.904,0.064
0.906,0.066
0.908,0.068
0.91,0.07
0.912,0.072
0.914,0.074
0.916,0.076
0.918,0.078
0.92,0.08
0.92,0.04
0.922,0.042
0.924,0.044
0.926,0.046
0.928,0.048
0.93,0.05
0.932,0.052
0.934,0.054
0.936,0.056
0.938,0.058
0.94,0.06
0.942,0.062
0.944,0.064
0.946,0.066
0.948,0.068
0.95,0.07
0.952,0.072
0.954,0.074
0.956,0.076
0.958,0.078
0.96,0.08
0.96,0.04
0.962,0.042
0.964,0.044
0.966,0.046
0.968,0.048
0.97,0.05
0.972,0.052
0.974,0.054
0.976,0.056
0.978,0.058
0.98,0.06
0.982,0.062
0.984,0.064
0.986,0.066
0.988,0.068
0.99,0.07
0.992,0.072
0.994,0.074
0.996,0.076
0.998,0.078
1,0.08
1,0.04
1.002,0.042
1.004,0.044
1.006,0.046
1.008,0.048
1.01,0.05
1.012,0.052
1.014,0.054
1.016,0.056
1.018,0.058
1.02,0.06
1.022,0.062
1.024,0.064
1.026,0.066
1.028,0.068
1.03,0.07
1.032,0.072
1.034,0.074
1.036,0.076
1.038,0.078
1.04,0.08
1.04,0.04
1.042,0.042
1.044,0.044
1.046,0.046
1.048,0.048
1.05,0.05
1.052,0.052
1.054,0.054
1.056,0.056
1.058,0.058
1.06,0.06
1.062,0.062
1.064,0.064
1.066,0.066
1.068,0.068
1.07,0.07
1.072,0.072
1.074,0.074
1.076,0.076
1.078,0.078
1.08,0.08
1.08,0.04
1.082,0.042
1.084,0.044
1.086,0.046
1.088,0.048
1.09,0.05
1.092,0.052
1.094,0.054
1.096,0.056
1.098,0.058
1.1,0.06
1.102,0.062
1.104,0.064
1.106,0.066
1.108,0.068
1.11,0.07
1.112,0.072
1.114,0.074
1.116,0.076
1.118,0.078
1.12,0.08
1.12,0.04
1.122,0.042
1.124,0.044
1.126,0.046
1.128,0.048
1.13,0.05
1.132,0.052
1.134,0.054
1.136,0.056
1.138,0.058
1.14,0.06
1.142,0.062
1.144,0.064
1.146,0.066
1.148,0.068
1.15,0.07
1.152,0.072
1.154,0.074
1.156,0.076
1.158,0.078
1.16,0.08
1.16,0.04
1.162,0.042
1.164,0.044
1.166,0.046
1.168,0.048
1.17,0.05
1.172,0.052
1.174,0.054
1.176,0.056
1.178,0.058
1.18,0.06
1.182,0.062
1.184,0.064
1.186,0.066
1.188,0.068
1.19,0.07
1.192,0.072
1.194,0.074
1.196,0.076
1.198,0.078
1.2,0.08
1.2,0.04
1.202,0.042
1.204,0.044
1.206,0.046
1.208,0.048
1.21,0.05
1.212,0.052
1.214,0.054
1.216,0.056
1.218,0.058
1.22,0.06
1.222,0.062
1.224,0.064
1.226,0.066
1.228,0.068
1.23,0.07
1.232,0.072
1.234,0.074
1.236,0.076
1.238,0.078
1.24,0.08
1.24,0.04
1.242,0.042
1.244,0.044
1.246,0.046
1.248,0.048
